,artist,song_id,genre
0,3 Doors Down,"[1, 2, 3]",rock 
1,4 Non Blondes,[4],rock 
2,5 Seconds Of Summer,[5],alternative
3,A Day to Remember,[6],rock
4,A Great Big World,"[7, 8]",pop
5,AC/DC,"[9, 10, 11, 12, 13, 14]",rock 
6,Adam Levine,[15],pop
7,Adam Sandler,[16],misc
8,Adele,"[17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",
9,Aerosmith,"[31, 32]",rock 
10,Alamid,[34],rock
11,Alan Walker,[35],dance
12,Alanis Morissette,[36],pop
13,Alessia Cara,[37],pop
14,Alex & Sierra,[38],pop
15,Alex Clare,[39],acoustic
16,Alicia Keys,[40],pop
17,All Time Low,[41],rock 
18,America,[42],rock 
19,Amy Winehouse,"[43, 44]",pop
20,Anda,[45],pop
21,Andmesh Kamaleng,[46],alternative
22,Anji,[47],indie
23,Anne-Marie,[48],pop
24,Arctic Monkeys,"[49, 50, 51]",indie
25,Ariana Grande,[52],pop
26,Arijit Singh,[53],pop
27,Armada,[54],pop
28,Auburn,[55],pop
29,Avenged Sevenfold,"[56, 57, 58]",rock 
30,Avicii,"[59, 60]",dance
31,Avril Lavigne,"[61, 62]",rock 
32,Backstreet Boys,[63],pop
33,Bastille,[64],dance
34,Ben E. King,"[65, 66]",blues
35,Ben&Ben,[67],pop
36,Beyonce,"[68, 69]",pop
37,Bill Withers,"[70, 71, 72]",blues
38,Billie Eilish,"[73, 74, 75, 76, 77]",
39,Billy Joel,[78],rock 
40,Bing Crosby,[79],jazz
41,Birdy,[80],pop
42,Black Sabbath,"[81, 82]",rock 
43,Blink-182,"[83, 84, 85, 86]",rock 
44,Blue Ãyster Cult,[87],rock 
45,Bob Dylan,"[88, 89, 90, 91, 92, 93]",rock 
46,Bob Marley,"[94, 95, 96, 97]",reggae
47,Bon Iver,"[98, 99]",alternative
48,Bon Jovi,"[100, 101, 102, 103, 104]",rock
49,Boston,[105],rock 
50,Boys Like Girls,[106],pop
51,Bright Eyes,[107],alternative
52,Britney Spears,"[108, 109]",pop
53,Bruno Mars,"[110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121]",pop
54,Bryan Adams,"[122, 123, 124]",pop
55,Budi Doremi,[125],pop
56,Cage the Elephant,[126],alternative
57,Callalily,[127],indie
58,Calum Scott,"[128, 129]",pop
59,Camila Cabello,[130],indie
60,Carly Rae Jepsen,[131],pop
61,Cat Stevens,[132],jazz
62,Cee Lo Green,[133],acoustic
63,Celine Dion,"[134, 135]",pop
64,Charlie Puth,"[136, 137]",pop
65,Chris Isaak,[138],pop
66,Chris Stapleton,[139],pop
67,Chris Tomlin,"[140, 141, 142]",pop
68,Christina Perri,"[143, 144, 145, 146]",pop
69,Chuck Berry,[147],blues
70,City and Colour,[148],alternative
71,Coheed and Cambria,[149],alternative
72,Colbie Caillat,[150],rock
73,Coldplay,"[151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161]",pop
74,Cory Asbury,[162],pop
75,Counting Crows,"[163, 164]",pop
76,Cream,[165],rock
77,Creed,[166],rock
78,Creedence Clearwater Revival,"[167, 168, 169]",rock
79,Crowded House,[170],rock
80,Cyndi Lauper,[171],pop
81,Daft Punk,[172],dance
82,Damien Rice,"[173, 174]",acoustic
83,Daniel Caesar,"[175, 176]",dance
84,Daniel Powter,[177],pop
85,Darius Rucker,[178],blues
86,David Bowie,"[179, 180]",rock
87,David Crowder Band,[181],blues
88,David Guetta,"[182, 183]",dance
89,Death Cab for Cutie,"[184, 185, 186]",rock 
90,December Avenue,[187],rock
91,Deep Purple,[188],rock
92,Demi Lovato,"[189, 190, 191]",dance
93,Dewa 19,"[192, 193]",dance
94,Dire Straits,"[194, 195]",rock
95,Dixie Chicks,[196],pop
96,Dolly Parton,[197],pop
97,Don McLean,[198],blues
98,Eagle-Eye Cherry,[199],rock
99,Eagles,"[200, 201, 202, 203, 204, 205, 206]",rock
100,Ed Sheeran,"[207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233]",pop
101,Eddie Vedder,[234],rock 
102,Edward Sharpe and the Magnetic Zeros,[235],alternative
103,Edwin McCain,[236],indie
104,Elevation Worship,[237],pop
105,Ellie Goulding,"[238, 239]",pop
106,Elton John,"[240, 241, 242, 243]",pop
107,Elvis Presley,"[244, 245, 246, 247]",rock
108,Emeli Sande,[248],pop
109,Enrique Iglesias,"[249, 250]",pop
110,Eraserheads,"[251, 252, 253]",rock
111,Eric Clapton,"[254, 255, 256, 257, 258, 259]",rock 
112,Evanescence,[260],rock
113,Extreme,"[261, 262]",rock
114,Fiersa Besari,"[263, 264, 265, 266]",pop
115,Five for Fighting,[267],rock 
116,Foo Fighters,"[268, 269, 270, 271]",rock 
117,Fool's Garden,[272],rock
118,Foster the People,"[273, 274]",indie
119,Fourtwnty,"[275, 276]",pop
120,Frank Sinatra,"[277, 278]",jazz
121,Fugees,[279],rock
122,Gary Jules,[280],alternative
123,Glen Hansard,[281],acoustic
124,Gnarls Barkley,[282],rock
125,Goo Goo Dolls,"[283, 284, 285]",pop
126,Gotye,"[286, 287]",alternative
127,Green Day,"[288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 300]",rock 
128,Guns N' Roses,"[301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312]",rock 
129,Harry Styles,[313],pop
130,Hillsong United,"[314, 315, 316, 317]",pop
131,Hillsong Worship,[318],pop
132,Hinder,[319],rock
133,Hoobastank,[320],rock 
134,Housefires,[321],rock
135,Howie Day,"[322, 323]",pop
136,Hozier,"[324, 325, 326]",rock 
137,Imagine Dragons,"[327, 328, 329, 330]",pop
138,Ingrid Michaelson,[331],pop
139,Iron Maiden,[332],rock 
140,Israel Kamakawiwo'ole,"[333, 334, 335]",pop
141,Jack Johnson,"[336, 337, 338]",pop
142,James Arthur,"[339, 340, 341]",alternative
143,James Bay,"[342, 343]",pop
144,James Blunt,"[344, 345]",pop
145,James Morrison,[346],rock
146,James Taylor,[347],country
147,Janis Joplin,[348],pop
148,Jason Mraz,"[349, 350, 351, 352, 353, 354, 355, 356, 357, 358]",rock
149,Jeff Buckley,"[359, 360, 361, 362]",blues
150,JerryC,[363],rock
151,Jessie J,"[364, 365, 366]",pop
152,Jesus Culture,[367],dance
153,Jimi Hendrix,"[368, 369]",rock 
154,Jireh Lim,[370],blues
155,Joe Anderson,[371],acoustic
156,Joe Walsh,[372],alternative
157,Johann Pachelbel,[373],rock
158,John Denver,"[374, 375, 376, 377]",pop
159,John Legend,"[378, 379]",acoustic
160,John Lennon,"[380, 381, 382, 383]",rock
161,John Mayer,"[384, 385, 386, 387, 388]",rock 
162,Johnny Cash,"[389, 390, 391, 392, 393, 394, 395]",blues
163,Joseph Vincent,[396],pop
164,Josh Groban,[397],alternative
165,Journey,[398],rock
166,Juan Karlos Labajo,[399],pop
167,Judy Garland,[400],pop
168,Justin Bieber,"[401, 402, 403]",pop
169,Justin Timberlake,[404],pop
170,Kansas,"[406, 407, 408, 409]",rock
171,Katy Perry,"[410, 411, 412, 413, 414, 415]",pop
172,Keane,"[416, 417]",pop
173,Kelly Clarkson,[418],pop
174,Kevin Devine,[419],pop
175,Kings of Leon,"[420, 421, 422]",rock 
176,Kodaline,"[423, 424]",alternative
177,LP,[452],dance
178,Labrinth,[425],pop
179,Lady A (Lady Antebellum),[426],pop
180,Lady Gaga,"[427, 428, 429]",pop
